LocalGovernment,Amount,SpendingGroup,SpendingSubgroup,ProjectOverview,TreasuryEligibleUseGroup,TreasuryEligibleUseSubgroup,City_or_County,State
"Monterey County, CA","$150,000",Housing,Rental Assistance,This program is to meet the funding gap who is ineligible for the Federal or State Emergency Rental Assistance program.,Negative Economic Impacts,"Household Assistance: Rent, Mortgage, and Utility Aid",Monterey County,CA
"Monterey County, CA","$18,000",Infrastructure,Broadband,Assist in helping provide internet services to all the community.,Infrastructure,Broadband: Other projects,Monterey County,CA
"Monterey County, CA","$1,935,000",Infrastructure,Broadband,"This project is to build, deploy, operate, and maintain broadband services to unserved and underserved areas in Monterey County.",Infrastructure,Broadband: Other projects,Monterey County,CA
"Monterey County, CA","$10,000",Infrastructure,Public Space,ARPA funds will be used for Playground Safety Inspections which are required to be completed by (public) agencies who operate them.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$157,858",Infrastructure,Public Space,ARPA funds will be used for the Prop 68 Per Capita grant funds match. Proposition 68 grant funds to be used in County Parks and open space.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$134,453",Infrastructure,Roadways And Bridges,"It involves phases that will lead to safer, off- highway solutions for parking; Create greener, accessible solutions for transportation; Create easier parklands access.",Negative Economic Impacts,"Aid to Tourism, Travel,or Hospitality",Monterey County,CA
"Monterey County, CA","$256,894",Infrastructure,Sewer And Water,ARPA funds will be used for the Carmel Lagoon Scenic Road Protective Structure/Ecosystem Protection Barrier Environmental Impact Report (EIR) project.,Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$166,500",Infrastructure,Sewer And Water,"ARPA funds will be used to cover costs associated with the completion of the Foothill Water System - San Jerardo Water System Intertie project, installation of two (2) metered connections.",Revenue Replacement,Provision of Government Services,Monterey County,CA
"Monterey County, CA","$3,900,000",Infrastructure,Sewer And Water,In Fiscal Year 2021-22 ARPA funds will be utilized for water infrastructure for various community services areas (CSA) and community service districts (CSD).,Infrastructure,Clean Water: Other Sewer Infrastructure,Monterey County,CA
"Monterey County, CA","$200,000",Infrastructure,Sewer And Water,In Fiscal Year 2021-22 ARPA funds will be utilized for water infrastructure for various community services areas (CSA) and community service districts (CSD).,Infrastructure,Drinking water: Other water infrastructure,Monterey County,CA
"Monterey County, CA","$1,745,543",Infrastructure,Sewer And Water,"In Fiscal Year 2021-22, ARPA funds will be utilized for water infrastructure to help improve the conditions of the various County Parks, to provide water and restroom services.",Infrastructure,Clean Water: Other Sewer Infrastructure,Monterey County,CA
"Monterey County, CA","$5,910,678",Infrastructure,Sewer And Water,"In Fiscal Year 2021-22, ARPA funds will be utilized for water infrastructure to help improve the conditions of the various County Parks, to provide water and restroom services.",Infrastructure,Drinking water: Other water infrastructure,Monterey County,CA
"Monterey County, CA","$500,000",Infrastructure,Sewer And Water,To support clean water/ centralized wastewater treatment infrastructure.,Infrastructure,Clean Water: Centralized Wastewater Treatment,Monterey County,CA
"Monterey County, CA","$1,450,000",Infrastructure,Sewer And Water,To support clean water/ sewer infrastructure.,Infrastructure,Clean Water: Other Sewer Infrastructure,Monterey County,CA
"Monterey County, CA","$831,697",Public Health,Covid Response,Conduct contact tracing in the community.,Public Health,COVID-19 Contact Tracing,Monterey County,CA
"Monterey County, CA","$111,697",Public Health,Covid Response,Identify regulated and non-regulated facilities that are non-compliant with the mask and facial covering requirements for the Shelter in Place order and provide education and protective equipment.,Public Health,"Payroll Costs for Public Health, Safety, and Other Public Sector Staff Responding to COVID-19",Monterey County,CA
"Monterey County, CA","$646,434",Public Health,Covid Response,"Monterey County non-congregate sheltering provided wrap around services in the form of food distribution, security services, on site staff assistance, and transportation services, in addition to housing high risk individuals potentially exposed to the virus in temporary isolation and quarantining the sick.",Public Health,"Other COVID-19 Public Health Expenses (including Communications, Enforcement, Isolation/Quarantine)",Monterey County,CA
"Monterey County, CA","$75,000",Public Health,Covid Response,"Monterey County purchased Personal Protective Equipment in the form of face shields, safety googles, and materials in the form of Sprayers, hand sanitizers, H-13 HEPA filter, thermometers, signage for dissemination of information, and free-standing plexiglass barrier cubicle toppers for social distancing for protection from the Covid-19 virus.",Public Health,Personal Protective Equipment,Monterey County,CA
"Monterey County, CA","$4,989,561",Public Health,Covid Response,"Operations includes coordination of the outreach campaign, vaccination clinics and testing pop-up sites, social media and outreach toolkit design and production.",Services to Disproportionately Impacted Communities,Social Determinants of Health: Community Health Worl<ers or Benefits Navigators,Monterey County,CA
